Trait	PC	Delta	Trait_long	Label	stars
LEUC	PC10	-0.00575950911382246	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC11	-0.0326787243216372	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC12	-0.00843025056685067	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC13	-0.0201246977915759	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC14	0.0035076122948189	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LYMC	PC1	0.00268870534992178	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC2	0.017678593370211	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC3	-0.00744357738778011	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC4	-0.0136755105000287	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC5	0.0169771633321271	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC6	-0.00994833846244593	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC7	-0.00669788185681701	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC8	0.0628390300916168	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC9	0.0711655704438274	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC10	-0.0152839388022926	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC11	-0.011471098793955	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC12	-0.00684978725670228	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC13	-0.0135728099774774	Lymphocyte Count	Lymphocyte Count	""
LYMC	PC14	-0.00680235799804301	Lymphocyte Count	Lymphocyte Count	""
LYMPL	PC1	0.00234470345779732	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC2	-0.0611455133603487	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC3	0.00126084108702363	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC4	-0.00905111148591397	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC5	0.0179692933234139	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC6	0.0171466979395853	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC7	-0.00781441932231998	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC8	0.0278791442914642	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC9	0.0540531635555233	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC10	-0.0115083200157442	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC11	0.0173047275570419	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC12	-2.11432614110121e-06	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC13	0.0032739899750464	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
LYMPL	PC14	-0.0115719300543807	Lymphocyte percentage of Leukocytes	Lymphocyte percentage of Leukocytes	""
MCH	PC1	0.0776364332003667	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC2	-0.00773516449213647	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC3	-0.00407555071723628	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC4	-0.00895082955336897	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC5	0.0161238275748591	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC6	3.48706933509021e-05	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC7	0.111862976113511	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC8	-0.00704648416725251	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC9	-0.00932476031352483	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC10	-0.031003617220578	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC11	0.00107586571599552	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC12	-0.0164289549571901	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC13	-0.00858165750305296	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCH	PC14	-0.0381429928905861	Mean Corpuscular Hemoglobin	Mean Corpuscular Hemoglobin	""
MCHC	PC1	-0.00214165865335869	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC2	-0.0106131395725127	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC3	-0.0104569801021864	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC4	0.0153432368483068	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC5	0.00397828708918498	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC6	0.00552005242616567	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC7	0.0674930485224292	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC8	-0.00172799442057888	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC9	-0.011463565244282	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC10	-0.0300302747600221	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC11	0.00420192670637896	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC12	-0.0175273432454642	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC13	0.00907171708577134	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MCHC	PC14	0.0362979103729956	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	""
MONC	PC1	-0.00110418300121972	Monocyte Count	Monocyte Count	""
MONC	PC2	0.0143427657834906	Monocyte Count	Monocyte Count	""
MONC	PC3	-0.00932850806771626	Monocyte Count	Monocyte Count	""
MONC	PC4	-0.00968493210786222	Monocyte Count	Monocyte Count	""
MONC	PC5	-0.00352353726489714	Monocyte Count	Monocyte Count	""
MONC	PC6	-0.110721471971829	Monocyte Count	Monocyte Count	""
MONC	PC7	0.00205523780991562	Monocyte Count	Monocyte Count	""
MONC	PC8	0.0340188586395548	Monocyte Count	Monocyte Count	""
MONC	PC9	0.0192216549774649	Monocyte Count	Monocyte Count	""
MONC	PC10	0.00303824363714689	Monocyte Count	Monocyte Count	""
MONC	PC11	-0.0382995318788316	Monocyte Count	Monocyte Count	""
MONC	PC12	-0.00695146224227729	Monocyte Count	Monocyte Count	""
MONC	PC13	-0.0258168647285347	Monocyte Count	Monocyte Count	""
MONC	PC14	0.000962745945899814	Monocyte Count	Monocyte Count	""
MONPL	PC1	-0.00131259670776414	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC2	-0.0581973628409267	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
MONPL	PC3	-0.00177219937809912	Monocyte percentage of leukocytes	Monocyte percentage of leukocytes	""
